STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,TMAX,TMIN,TAVG,TAVG_month
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/1/20,38,18,28.00,50.56
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/2/20,57,18,37.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/3/20,61,26,43.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/4/20,67,42,54.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/5/20,63,41,52.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/6/20,56,29,42.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/7/20,50,30,40.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/8/20,51,22,36.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/9/20,64,22,43.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/10/20,70,29,49.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/11/20,67,49,58.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/12/20,70,38,54.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/13/20,68,37,52.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/14/20,72,45,58.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/15/20,60,39,49.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/16/20,44,38,41.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/17/20,49,39,44.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/18/20,66,37,51.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/19/20,53,41,47.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/20/20,77,49,63.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/21/20,75,57,66.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/22/20,65,40,52.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/23/20,51,40,45.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/24/20,51,40,45.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/25/20,59,40,49.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/26/20,54,44,49.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/27/20,62,44,53.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/28/20,81,44,62.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/29/20,82,56,69.00,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/30/20,84,55,69.50,
USC00444876,"LEXINGTON, VA US",37.7767,-79.4385,334.4,3/31/20,73,46,59.50,